word,phon
überbrückest,ybɐbʁʏkəst
zervikal,tsɛʁvikal
mitarbeiten,mɪtʔaʁbaɪtn
vercharterst,fɛɐtʃaʁtɐst
abtreibet,aptʁaɪbət
verkomm,fɛɐkɔm
darb,daʁp
begrab,bəɡʁap
funkligeren,fʊŋklɪɡəʁən
ausschimpfet,aʊsʃɪmpfət
hegemonial,heɡemonial
Abweichlern,apvaɪçlɐn
ankenne,ankɛnə
Oktett,ɔktɛt
Station,ʃtatsion
spannendere,ʃpanəndəʁə
idiotischerem,idiotɪʃəʁəm
Waffenexports,vafnʔɛkspɔʁts
verdauen,fɛɐdaʊən
verruchtestes,fɛɐʁuxtəstəs
systemischem,zʏstemɪʃm
Sinnesorgane,zɪnəsʔɔʁɡanə
Abendprogramm,abntpʁoɡʁam
brillantener,bʁɪljantənɐ
abbildend,apbɪldnt
Schrifttype,ʃʁɪfttypə
gründete,ɡʁʏndətə
Lanzenspitzen,lantsnʃpɪtsn
knuddelet,knʊdələt
Zuckens,tsʊkns
Blattlauslöwen,blatlaʊsløvn
gleichalteriger,ɡlaɪçʔaltəʁɪɡɐ
rubrizier,ʁubʁitsiɐ
Liniergeräte,liniɐɡəʁɛtə
Busens,buzns
beiztet,baɪtstət
Aluminiumtoren,aluminiʊmtoʁən
liebestollem,libəstɔləm
dackelt,daklt
Kasematte,kazəmatə
Trutschen,tʁutʃn
garstigstes,ɡaʁstɪçstəs
Handtellers,hanttɛlɐs
belabertet,bəlabɐtət
besserstelltest,bɛsɐʃtɛltəst
Heroinmengen,heʁoinmɛŋən
kettete,kɛtətə
endogenen,ɛndoɡenən
Bombenangriffes,bɔmbnʔanɡʁɪfəs
diaphanem,diafanəm
GIS,ɡeʔiʔɛs
Kittfalze,kɪtfaltsə
schrubbt,ʃʁʊpt
Lindwurm,lɪntvʊʁm
versonnener,fɛɐzɔnənɐ
Dreiecksnebels,dʁaɪʔɛksnebls
wahrnehmbaren,vaɐnembaʁən
Resort,ʁɪzoɐt
Abonnentinnen,abonɛntɪnən
Baumwollhemd,baʊmvɔlhɛmt
Spätfolge,ʃpɛtfɔlɡə
woran,voʁan
ausklammernd,aʊsklamɐnt
Geschwüre,ɡəʃvyʁə
benommenem,bənɔmənəm
Meter,metɐ
Austernfischer,aʊstɐnfɪʃɐ
Duzfreundinnen,dutsfʁɔɪndɪnən
melodischstem,melodɪʃstəm
Fischarten,fɪʃʔaɐtn
erheischtet,ɛɐhaɪʃtət
dichterer,dɪçtəʁɐ
nibbelte,nɪbltə
Phraseologien,fʁazeoloɡiən
Schrotsäge,ʃʁotzɛɡə
sexuellster,sɛksuɛlstɐ
Horchpostens,hɔʁçpɔstns
söhligem,zølɪɡəm
trudelte,tʁudltə
rechthaberisch,ʁɛçthabəʁɪʃ
